https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1637589600000,2021-11-22 14:00:00,DAI/USD,1.0009,1.0011,1.0001,1.0003,302364.02559021616,302273.34358714
1637586000000,2021-11-22 13:00:00,DAI/USD,1.0003,1.0011,1.0,1.0008,201142.52311940337,200981.73772922
1637582400000,2021-11-22 12:00:00,DAI/USD,1.0004,1.0004,1.0,1.0003,3029.2232903087606,3028.3147958699997
1637578800000,2021-11-22 11:00:00,DAI/USD,1.0008,1.0008,1.0002,1.0004,510.71616275318803,510.51195797
1637575200000,2021-11-22 10:00:00,DAI/USD,1.0004,1.0008,1.0004,1.0006,49.23319034088399,49.20366814
1637571600000,2021-11-22 09:00:00,DAI/USD,1.0008,1.0008,1.0004,1.0004,135.952784309976,135.89842494
1637568000000,2021-11-22 08:00:00,DAI/USD,1.0007,1.0008,1.0004,1.0007,53.586809287332,53.549324760000005
1637564400000,2021-11-22 07:00:00,DAI/USD,1.0005,1.0007,1.0004,1.0007,64.55000127351599,64.50484788
1637560800000,2021-11-22 06:00:00,DAI/USD,1.0007,1.0008,1.0004,1.0005,156.29077503435,156.2126687
1637557200000,2021-11-22 05:00:00,DAI/USD,1.0008,1.0009,1.0007,1.0008,2569.741550190216,2567.68740027
1637553600000,2021-11-22 04:00:00,DAI/USD,1.0008,1.0008,1.0007,1.0007,109.89120420391899,109.81433417
1637550000000,2021-11-22 03:00:00,DAI/USD,1.0008,1.0009,1.0007,1.0007,169.08836191800197,168.97008286
1637546400000,2021-11-22 02:00:00,DAI/USD,1.0008,1.0009,1.0007,1.0007,6184.559152032258,6180.23298894
1637542800000,2021-11-22 01:00:00,DAI/USD,1.0008,1.0008,1.0007,1.0008,185.187613785696,185.03958212
1637539200000,2021-11-22 00:00:00,DAI/USD,1.0008,1.0034,1.0007,1.0008,19910.09882544293,19894.18347866
1637535600000,2021-11-21 23:00:00,DAI/USD,1.0008,1.0008,1.0007,1.0007,177.80516230002496,177.68078574999998
1637532000000,2021-11-21 22:00:00,DAI/USD,1.0008,1.0011,1.0007,1.0007,280.68809704697395,280.49175282
1637528400000,2021-11-21 21:00:00,DAI/USD,1.0009,1.0011,1.0008,1.001,109.01390196696998,108.90499697
1637524800000,2021-11-21 20:00:00,DAI/USD,1.001,1.001,1.0007,1.0007,237.336127836132,237.17010876
1637521200000,2021-11-21 19:00:00,DAI/USD,1.0009,1.001,1.0007,1.001,162.2180115556,162.0559556
1637517600000,2021-11-21 18:00:00,DAI/USD,1.0008,1.0009,1.0007,1.0007,230.25125554468696,230.09019241
1637514000000,2021-11-21 17:00:00,DAI/USD,1.0007,1.0009,1.0007,1.0008,164.93864391878398,164.80679848
1637510400000,2021-11-21 16:00:00,DAI/USD,1.0008,1.0011,1.0008,1.0009,2117.807567318951,2115.9032543900003
1637506800000,2021-11-21 15:00:00,DAI/USD,1.0008,1.0009,1.0008,1.0008,164.09737498161599,163.96620202
1637503200000,2021-11-21 14:00:00,DAI/USD,1.0009,1.001,1.0008,1.0008,98.499336600096,98.42060012
1637499600000,2021-11-21 13:00:00,DAI/USD,1.0008,1.0009,1.0008,1.0009,280.607807488795,280.35548755
1637496000000,2021-11-21 12:00:00,DAI/USD,1.0008,1.0009,1.0008,1.0008,175.453484847408,175.31323426
