https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1556017200,2019-04-23 11:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556013600,2019-04-23 10:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556010000,2019-04-23 09:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556006400,2019-04-23 08:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1556002800,2019-04-23 07:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1555999200,2019-04-23 06:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1555995600,2019-04-23 05:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1555992000,2019-04-23 04:00:00,REP/USD,22.2,22.2,22.2,22.2,0.0,0.0
1555988400,2019-04-23 03:00:00,REP/USD,22.29,22.29,22.2,22.2,279.34,12.58
1555984800,2019-04-23 02:00:00,REP/USD,23.14,23.14,22.29,22.29,51.04,2.29
1555981200,2019-04-23 01:00:00,REP/USD,23.14,23.14,23.14,23.14,0.0,0.0
1555977600,2019-04-23 00:00:00,REP/USD,23.14,23.14,23.14,23.14,0.0,0.0
1555974000,2019-04-22 23:00:00,REP/USD,22.35,23.14,22.35,23.14,30.51,1.318
1555970400,2019-04-22 22:00:00,REP/USD,22.35,22.35,22.35,22.35,0.0,0.0
1555966800,2019-04-22 21:00:00,REP/USD,22.9,22.9,22.25,22.35,163.04,7.311
1555963200,2019-04-22 20:00:00,REP/USD,22.9,22.9,22.9,22.9,0.0,0.0
1555959600,2019-04-22 19:00:00,REP/USD,22.9,22.9,22.9,22.9,0.0,0.0
1555956000,2019-04-22 18:00:00,REP/USD,22.9,22.9,22.9,22.9,0.0,0.0
1555952400,2019-04-22 17:00:00,REP/USD,22.9,22.9,22.9,22.9,0.0,0.0
1555948800,2019-04-22 16:00:00,REP/USD,22.9,22.9,22.9,22.9,0.0,0.0
1555945200,2019-04-22 15:00:00,REP/USD,23.16,23.28,22.9,22.9,61.37,2.639
1555941600,2019-04-22 14:00:00,REP/USD,22.24,23.16,22.24,23.16,926.85,40.02
1555938000,2019-04-22 13:00:00,REP/USD,22.24,22.24,22.24,22.24,0.0,0.0
1555934400,2019-04-22 12:00:00,REP/USD,22.24,22.24,22.24,22.24,0.0,0.0
1555930800,2019-04-22 11:00:00,REP/USD,22.24,22.24,22.24,22.24,0.0,0.0
1555927200,2019-04-22 10:00:00,REP/USD,22.24,22.24,22.24,22.24,0.0,0.0
1555923600,2019-04-22 09:00:00,REP/USD,22.68,22.68,22.24,22.24,1579.7,71.0
1555920000,2019-04-22 08:00:00,REP/USD,22.68,22.68,22.68,22.68,0.0,0.0
1555916400,2019-04-22 07:00:00,REP/USD,22.68,22.68,22.68,22.68,0.0,0.0
1555912800,2019-04-22 06:00:00,REP/USD,22.68,22.68,22.68,22.68,0.0,0.0
1555909200,2019-04-22 05:00:00,REP/USD,22.92,22.93,22.68,22.68,357.25,15.69
1555905600,2019-04-22 04:00:00,REP/USD,22.92,22.92,22.92,22.92,0.0,0.0
1555902000,2019-04-22 03:00:00,REP/USD,22.63,22.92,22.63,22.92,201.24,8.785
1555898400,2019-04-22 02:00:00,REP/USD,20.5,22.63,20.5,22.63,581.5,25.86
1555894800,2019-04-22 01:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555891200,2019-04-22 00:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555887600,2019-04-21 23:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555884000,2019-04-21 22:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555880400,2019-04-21 21:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555876800,2019-04-21 20:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555873200,2019-04-21 19:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555869600,2019-04-21 18:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555866000,2019-04-21 17:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555862400,2019-04-21 16:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555858800,2019-04-21 15:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555855200,2019-04-21 14:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555851600,2019-04-21 13:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555848000,2019-04-21 12:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555844400,2019-04-21 11:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555840800,2019-04-21 10:00:00,REP/USD,20.5,20.5,20.5,20.5,0.0,0.0
1555837200,2019-04-21 09:00:00,REP/USD,21.4,21.4,20.5,20.5,375.89,18.34
1555833600,2019-04-21 08:00:00,REP/USD,21.4,21.4,21.4,21.4,0.0,0.0
1555830000,2019-04-21 07:00:00,REP/USD,21.81,21.81,21.4,21.4,1709.9,79.89
1555826400,2019-04-21 06:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
1555822800,2019-04-21 05:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
1555819200,2019-04-21 04:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
1555815600,2019-04-21 03:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
1555812000,2019-04-21 02:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
1555808400,2019-04-21 01:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
1555804800,2019-04-21 00:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
1555801200,2019-04-20 23:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
1555797600,2019-04-20 22:00:00,REP/USD,21.81,21.81,21.81,21.81,0.0,0.0
